Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
5.0,88000.0,1.0,3.6,0.0,0.0,2149635709.2144165,Jeep,Grand Cherokee,Nafta
5.0,1020000.0,6.0,2.0,0.0,1.0,2114475087.3342285,BMW,X3,Nafta
5.0,87000.0,5.0,1.5,0.0,0.0,2097582882.8077614,Chevrolet,Equinox,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2094541057.899414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2085397826.649414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2085397826.649414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2085397826.649414,Audi,Q7,Nafta
5.0,420000.0,4.0,2.0,0.0,0.0,2082268016.015625,Mercedes-Benz,Clase GLC,Nafta
5.0,1080000.0,14.0,3.0,0.0,0.0,2076297378.540039,Audi,Q7,Nafta
5.0,600000.0,4.0,3.0,0.0,0.0,2060786885.636963,Audi,Q8,Nafta
4.0,497260.0,11.0,3.0,0.0,0.0,2059765604.6604004,Audi,Q7,Nafta
5.0,490000.0,6.0,2.0,0.0,1.0,2046817710.3187408,BMW,X3,Nafta
5.0,430000.0,4.0,3.0,0.0,0.0,2019662584.180664,Audi,Q8,Nafta
5.0,190000.0,1.0,3.6,0.0,0.0,1992489318.4936676,Jeep,Grand Cherokee,Nafta
5.0,1100000.0,17.0,6.1,0.0,1.0,1934230779.386963,Jeep,Grand Cherokee,Nafta
5.0,660000.0,15.0,4.4,0.0,1.0,1919181934.2197266,BMW,X6,Nafta
5.0,660000.0,15.0,4.4,0.0,1.0,1919181934.2197266,BMW,X6,Nafta
5.0,111110.0,10.0,3.0,0.0,0.0,1901330618.0625,BMW,X5,Nafta
5.0,40000.0,2.0,2.0,0.0,1.0,1884157475.498108,BMW,X3,Otros
5.0,0.0,0.0,3.0,0.0,0.0,1862414037.9053345,BMW,X3,Nafta
5.0,0.0,0.0,3.6,0.0,0.0,1859389647.9104004,Jeep,Wrangler,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,1828049481.6553345,BMW,X3,Nafta
4.0,1500000.0,17.0,5.0,0.0,1.0,1810288094.2386627,Mercedes-Benz,Clase ML,Nafta
5.0,97800.0,12.0,3.6,0.0,0.0,1800303226.3575213,Dodge,Journey,Nafta
5.0,470000.0,4.0,2.0,0.0,1.0,1760529162.1076813,Marca_Otros,Evoque,Otros
