Puertas,Kilómetros,Precio_usd,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,combustible_Diésel,combustible_Nafta,combustible_Otros
5.0,10000.0,38810.050115586455,0.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,850000.0,26913.92605841756,7.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,130000.0,34591.566407370534,3.0,1.4,0.0,1.0,0.0,1.0,0.0
5.0,1260000.0,10124.360899718205,11.0,2.0,1.0,1.0,0.0,1.0,0.0
5.0,1100000.0,44200.0,5.0,2.8,0.0,1.0,1.0,0.0,0.0
5.0,585820.0,24635.944855980968,6.0,1.5,0.0,0.0,0.0,1.0,0.0
5.0,650000.0,30000.0,6.0,2.5,0.0,1.0,0.0,1.0,0.0
5.0,1600000.0,20000.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,2200000.0,8858.81578725343,12.0,2.0,1.0,1.0,0.0,0.0,1.0
5.0,2300000.0,14764.692978755716,15.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,1310000.0,14342.844607934125,11.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,680000.0,19405.025057793227,3.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,26407.708013431653,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1941900.0,11000.0,21.0,2.7,0.0,0.0,1.0,0.0,0.0
5.0,886000.0,15861.498742891856,7.0,1.5,1.0,1.0,0.0,1.0,0.0
5.0,770000.0,18300.0,7.0,1.4,1.0,1.0,0.0,1.0,0.0
5.0,40000.0,37122.65663230009,1.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,20000.0,37881.98369977895,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,1090000.0,11811.754383004572,11.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,180000.0,24045.35713683074,1.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,1240000.0,13414.778192126621,8.0,2.0,0.0,1.0,0.0,1.0,0.0
4.0,1740000.0,12900.0,10.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,570000.0,19151.83166562611,7.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,543160.0,25732.750620117105,4.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,700000.0,19000.0,6.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,0.0,10546.209270539797,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,40000.0,67800.0,1.0,2.8,0.0,1.0,1.0,0.0,0.0
5.0,0.0,25226.532575131194,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,2100000.0,13499.147866290941,10.0,1.8,1.0,1.0,0.0,0.0,1.0
5.0,690000.0,79900.0,8.0,4.4,0.0,1.0,0.0,1.0,0.0
5.0,470000.0,21936.115282722778,3.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,10000.0,23622.665069267503,2.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,790000.0,125000.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,1120000.0,15000.0,8.0,1.6,0.0,1.0,0.0,1.0,0.0
